工,工
王,王
木,木
文,文
一,一
二,二
六,八
八,八
半,十
个,人
天,大
头,大
本,木
杯,木
不,一
太,大
大,大
干,干
开,廾
关,丷
来,木
你,亻
好,女
我,戈
问,门
答,竹
他,亻
们,亻
吗,口
很,彳
